storm_id,storm_name,datetime_utc,status,lat,lon,vmax_kt,mslp_mb
AL092022,IAN,2022-09-22 18:00:00+00:00,LO,12.3,-66.3,30,1006
AL092022,IAN,2022-09-23 00:00:00+00:00,LO,12.9,-67.2,30,1006
AL092022,IAN,2022-09-23 06:00:00+00:00,TD,13.7,-68.1,30,1006
AL092022,IAN,2022-09-23 12:00:00+00:00,TD,14.2,-69.3,30,1006
AL092022,IAN,2022-09-23 18:00:00+00:00,TD,14.6,-70.6,30,1006
AL092022,IAN,2022-09-24 00:00:00+00:00,TS,14.7,-71.7,35,1005
AL092022,IAN,2022-09-24 06:00:00+00:00,TS,14.7,-72.9,35,1005
AL092022,IAN,2022-09-24 12:00:00+00:00,TS,14.5,-74.4,40,1003
AL092022,IAN,2022-09-24 18:00:00+00:00,TS,14.4,-75.8,40,1003
AL092022,IAN,2022-09-25 00:00:00+00:00,TS,14.6,-77.2,40,1003
AL092022,IAN,2022-09-25 06:00:00+00:00,TS,14.6,-78.3,40,1003
AL092022,IAN,2022-09-25 12:00:00+00:00,TS,15.0,-79.4,40,1003
AL092022,IAN,2022-09-25 18:00:00+00:00,TS,15.8,-80.1,40,1003
AL092022,IAN,2022-09-26 00:00:00+00:00,TS,16.8,-80.9,50,991
AL092022,IAN,2022-09-26 06:00:00+00:00,HU,17.7,-81.7,65,985
AL092022,IAN,2022-09-26 12:00:00+00:00,HU,18.7,-82.4,70,981
AL092022,IAN,2022-09-26 18:00:00+00:00,HU,19.7,-83.0,80,976
AL092022,IAN,2022-09-27 00:00:00+00:00,HU,20.8,-83.3,85,965
AL092022,IAN,2022-09-27 06:00:00+00:00,HU,21.8,-83.6,100,956
AL092022,IAN,2022-09-27 12:00:00+00:00,HU,22.6,-83.6,100,963
AL092022,IAN,2022-09-27 18:00:00+00:00,HU,23.5,-83.3,105,951
AL092022,IAN,2022-09-28 00:00:00+00:00,HU,24.4,-83.0,105,947
AL092022,IAN,2022-09-28 06:00:00+00:00,HU,25.2,-82.9,120,945
AL092022,IAN,2022-09-28 12:00:00+00:00,HU,26.0,-82.7,140,937
AL092022,IAN,2022-09-28 18:00:00+00:00,HU,26.6,-82.4,135,938
AL092022,IAN,2022-09-29 00:00:00+00:00,HU,27.2,-81.7,100,960
AL092022,IAN,2022-09-29 06:00:00+00:00,HU,27.7,-81.1,65,985
AL092022,IAN,2022-09-29 12:00:00+00:00,TS,28.4,-80.6,60,987
AL092022,IAN,2022-09-29 18:00:00+00:00,HU,28.9,-80.1,65,986
AL092022,IAN,2022-09-30 00:00:00+00:00,HU,29.6,-79.4,70,986
AL092022,IAN,2022-09-30 06:00:00+00:00,HU,30.3,-79.1,75,984
AL092022,IAN,2022-09-30 12:00:00+00:00,HU,31.5,-79.0,75,980
AL092022,IAN,2022-09-30 18:00:00+00:00,HU,33.3,-79.2,70,978
AL092022,IAN,2022-10-01 00:00:00+00:00,EX,34.4,-79.3,50,990
AL092022,IAN,2022-10-01 06:00:00+00:00,EX,35.3,-79.7,30,999
